company_name,industry_vertical,founding_year,arr_thousands,employee_count,churn_rate_percent,yoy_growth_rate_percent
SignalTech,Fintech,2018,1200,85,3.2,42.5
VertexSync,SaaS,2015,3400,210,5.1,18.3
TerraBase,HealthTech,2019,890,62,2.8,55.0
CloudNova,Fintech,2017,1850,120,4.0,30.2
DataPulse,AI/ML,2020,650,45,2.1,68.4
AquaFlow,CleanTech,2016,2200,155,3.5,22.1
NexGen,SaaS,2014,4500,300,6.0,12.5
PivotAI,AI/ML,2021,420,28,1.5,85.2
FinBridge,Fintech,2019,1650,98,3.8,38.7
EcoTrack,CleanTech,2018,1100,78,2.9,28.9
MedVault,HealthTech,2016,2800,185,4.2,20.5
QuantEdge,Fintech,2020,780,52,2.4,52.3
StreamLine,SaaS,2017,3100,195,5.5,16.8
BioSync,HealthTech,2021,350,22,1.8,72.1
CyberShield,Security,2015,3800,250,4.8,15.2
PayLoop,Fintech,2018,1400,92,3.3,40.1
InfraNow,DevOps,2019,950,68,2.6,48.6
VoltGrid,CleanTech,2017,1750,115,3.6,25.4
NeuroLink,AI/ML,2020,580,38,2.0,62.8
CompliBot,Fintech,2016,2100,140,4.1,24.6
